k_subset,language,n_unsafe_prompts,n_models_available,best_single_model,best_single_model_short,best_single_model_recall,oracle_or_recall_any_model,missed_by_all_rate,complementarity_gap
2,German,106,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Greek,108,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Hausa,68,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Hungarian,105,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Icelandic,100,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Indonesian,109,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Irish,107,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Latvian,103,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Lingala,125,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Lithuanian,103,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Luxembourgish,139,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Malay,108,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Maltese,138,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Maori,128,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Northern Sotho,126,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Norwegian,103,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Nyanja,125,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Occitan,134,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Oromo,51,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Romanian,107,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Shona,127,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Sindhi,102,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Slovak,108,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Slovenian,102,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
2,Somali,74,12,wildguard,WildGuard,1.0,1.0,0.0,0.0
